A1: Ladder,B1: mat_wt_1,C1: mat_wt_2,D1: mat_wt_3,E1: mat_ds_1,F1: mat_ds_2,G1: mat_ds_3,H1: mat_s4_1,A2: mat_s4_2,B2: mat_s4_3,C2: mat_d3_1,D2: mat_d3_2,E2: mat_d3_3,F2: mat_s1_1,G2: mat_s1_2,H2: mat_s1_3,A3: mat_d7_1,B3: mat_d7_2,C3: mat_d7_3,D3: Ladder,E3: pro_wt_1,F3: pro_wt_2,G3: pro_wt_3,H3: pro_ds_1,A4: pro_ds_2,B4: pro_ds_3,C4: pro_s4_1,D4: pro_s4_2,E4: pro_s4_3,F4: pro_d3_1,G4: pro_d3_2,H4: pro_d3_3,A5: pro_s1_1,B5: pro_s1_2,C5: pro_s1_3,D5: pro_d7_1,E5: pro_d7_2,F5: pro_d7_3
0.6574937,0.3778962,0.3264914,1.405869,1.481786,1.810318,1.026943,0.12699,1.122212,1.101468,0.6265814,0.003429023,2.383174,0.3203748,1.306431,0.7500293,0.8575197,1.193004,0.7517005,0.7582691,0.5134599,2.117372,0.9066079,1.319058,0.7425859,0.4360492,0.02404135,0.5038669,0.3085843,1.854689,1.419214,1.368047,0.7599991,5.621293E-06,1.032666,2.221675,2.564213,0.8846764
0.8447294,0.1956016,0.1434061,1.662738,1.733773,1.689913,0.9916487,0.1605569,1.166506,0.8829236,0.444235,0.07531723,1.876983,0.3577515,1.420187,0.8457794,1.078251,1.349023,0.9460288,1.027395,0.4817529,1.771214,0.5497936,1.09584,0.9317383,0.4689488,0.07920358,0.7701712,0.6035358,1.702187,1.429016,1.540622,0.7113423,0,0.7652597,2.136859,2.599722,0.690289
1.059877,0.338791,0.1141362,1.604833,1.99425,1.914039,0.854992,0.299256,1.238265,0.5709679,0.3059095,0.5620822,1.923105,0.7892779,1.356167,1.130796,1.63989,1.00242,0.7901714,1.627737,0.5999092,1.400056,0.3648688,0.9263265,1.124231,0.4897904,0.09603646,0.9704423,0.8149583,1.531406,1.410687,1.493024,0.9285524,0.1416012,1.022135,2.026694,2.897165,0.371499
1.262952,0.2317745,0.09852841,1.502908,1.859433,1.998214,0.7139225,0.6517415,1.305709,0.3222973,0.2305894,1.38647,2.28906,1.162529,1.192984,1.41245,2.154848,0.5811604,0.7646369,1.885291,0.8103296,1.255395,0.4541838,0.7927807,1.056363,0.3353559,0.005750828,1.492353,0.738147,1.540372,1.265076,1.487332,1.338009,0.1713398,1.150761,2.012963,2.842682,0.0496004
0.9463559,0.4297799,0.00478894,1.092264,1.670182,2.153556,0.9280012,1.141807,1.055893,0.07355536,0.5010992,1.402362,2.539254,1.512156,1.236279,1.550273,2.111522,0.6007951,0.8424212,1.891658,0.8159302,1.208659,0.7407627,0.8762862,1.040764,0.2030573,0.2450246,1.576702,0.5585313,1.765612,1.149065,1.488932,1.60337,0.2183965,1.18366,2.110302,2.580972,0.001861775
0.7232133,0.6383054,0.1072995,1.07366,1.410108,2.213854,1.247526,1.375659,0.8201327,0.300944,0.7156445,1.334091,2.904177,1.546742,1.049639,1.530921,1.864256,0.6171254,0.7806509,1.766282,0.9659123,1.252477,1.109306,0.9138988,0.8941682,0.2151014,0.4174116,1.517044,0.2239214,1.639887,1.074581,1.371999,1.549123,0.379268,1.287594,2.145034,2.528078,0.003813817
0.7837783,1.1305,0.4982322,1.022436,1.336918,2.106568,1.592637,1.520879,0.9205507,0.9640379,0.4349214,1.257346,2.909692,1.362485,1.171094,1.839365,1.367504,0.7896897,0.909906,1.160935,1.177237,1.582229,1.210808,1.125703,1.008374,0.2965753,0.6058456,1.174425,0.1685474,1.886109,1.311866,1.317795,1.450085,0.5757834,1.113795,2.570472,2.495499,0
0.1914437,1.302962,0.5761906,1.171013,1.372761,2.004703,1.632452,1.738091,1.091525,0.9141108,0.2322314,0.9246755,3.101279,0.8921469,1.364014,2.012111,0.920519,1.002581,1.572793,0.7025136,1.282633,1.803025,1.274463,1.23287,1.195742,0.258004,0.6620037,1.115802,0.2135479,2.046199,1.278347,1.277843,1.334412,0.3805552,1.243877,2.894511,2.482471,0
0.02968477,1.555371,0.644942,1.417673,1.457717,1.782993,1.617757,1.652703,1.50246,0.8303779,0.4263941,1.156565,3.458887,0.8793967,1.950825,1.889764,0.4915914,0.9161455,1.979138,0.2970326,1.290467,1.798647,1.025465,1.076879,1.555146,0.3755458,0.6317404,0.9971992,0.1104362,2.336591,1.243291,1.526786,1.000405,0.1802894,0.6230136,3.10057,2.27406,0
0.03314035,1.755407,0.3992832,1.921337,1.667813,1.731521,1.580548,1.749822,1.84967,0.5789959,0.8725985,1.77503,3.540235,0.9420837,2.212909,2.294998,0.5006815,0.9369456,2.152531,0.03024746,1.07093,1.83074,0.9127943,1.049925,1.783309,0.5187992,0.6633449,1.069513,0.2659828,2.355584,1.38421,1.608717,1.111176,0.0726675,0.1684997,3.08317,2.176026,0.07933322
